"2.7.0-preview2 triggers 'TypeE","### Steps to reproduce

 1. Clone https://github","https://github.com/rails/rails/issues/37572"
"ActiveRecord: support views wi","### Steps to reproduce

 - Create a database vie","https://github.com/rails/rails/issues/37571"
"ActionController::RoutingError","
I think this is a bug for 6.0.0 version.

I c","https://github.com/rails/rails/issues/37570"
"Edge ActiveStorage unnecessari","### Steps to reproduce
**[Demo application](https","https://github.com/rails/rails/issues/37569"
"Run inline jobs in separate th","### Summary

Closes https://github.com/rails/rai","https://github.com/rails/rails/pull/37568"
"Errno::ENOENT: No such file or","I have a Rails app which i am trying to deploy in ","https://github.com/rails/rails/issues/37567"
"Making tagged logger work insi","Closes #37535

Using thread local variables and ","https://github.com/rails/rails/pull/37566"
"Request for a way to get relev","I work on the Elastic APM Ruby agent and we subscr","https://github.com/rails/rails/issues/37565"
"Cast ActiveRecord::Store value","### Summary

The goal is to automatically use  c","https://github.com/rails/rails/pull/37564"
"add eager_group query method","### Summary

It comes from my gem [eager_group](","https://github.com/rails/rails/pull/37563"
"[ci skip] Fix lower case comme","### Summary

Documentation fix for number_helper","https://github.com/rails/rails/pull/37562"
"[ci skip] Small fixes in Actio","### Summary

Some fixes to the ActionView docume","https://github.com/rails/rails/pull/37561"
"`bin/yarn` exec `"yarn"` rathe","### Summary
Currently `bin/yarn` will run `exec "","https://github.com/rails/rails/pull/37558"
"Use default order of PathResol","Fixes #37556","https://github.com/rails/rails/pull/37557"
"6.0.0 - OptimizedFileSystemRes","### Steps to reproduce

1. Create a new rails 6 ","https://github.com/rails/rails/issues/37556"
"Modified Active Record collect","Active Record collections might generate the same ","https://github.com/rails/rails/issues/37555"
"Cache key with alias attribute","### Steps to reproduce
Steps to reproduce
I a si","https://github.com/rails/rails/issues/37554"
"API App: Non API Controllers T","I have an API only app with one controller that de","https://github.com/rails/rails/issues/37553"
"6.0.0 / tests failing due to A","### Expected behavior
I've recently upgraded to r","https://github.com/rails/rails/issues/37552"
"Add Hash#deep_transform_pairs ","### Summary
https://api.rubyonrails.org/classes/H","https://github.com/rails/rails/pull/37551"
"Wrap generated/executed Migrat","Sorry for posting into the Issues category, this i","https://github.com/rails/rails/issues/37549"
"Check class collision for scaf","Sorry, but I was unable to produce an executable t","https://github.com/rails/rails/issues/37543"
"Fix the link to "guides" inste","### Summary

Fix the link to redirect user to "g","https://github.com/rails/rails/pull/37540"
"Use MigrationContext#schema_mi","cc @eileencodes, @casperisfine

## Problem

M","https://github.com/rails/rails/pull/37539"
"Force isn't working for genera","### Steps to reproduce

`rails g model User name","https://github.com/rails/rails/issues/37538"
"restrict_with_exception/restri","### Steps to reproduce
<!-- (Guidelines for creat","https://github.com/rails/rails/issues/37536"
"ActiveSupport::TaggedLogging d","### Steps to reproduce
In a new Rails application","https://github.com/rails/rails/issues/37535"
"has_one where statement genera","### Steps to reproduce
```ruby
require "bundler/","https://github.com/rails/rails/issues/37531"
"Unnessecary file lookup for no","While debugging an unrelated issue with `strace` i","https://github.com/rails/rails/issues/37530"
"Update SJR with vanilla js ins","### Summary
Updating some of the guides that cont","https://github.com/rails/rails/pull/37529"
